Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
12_1.txt,1133,0.9,degree,283,25,98.15,3
12_1.txt,1133,0.1,closeness,56,5,33.01,9
12_1.txt,1133,0.1,closeness,113,10,35.57,7
12_1.txt,1133,0.1,closeness,283,25,44.13,3
12_1.txt,1133,0.2,closeness,56,5,59.31,8
12_1.txt,1133,0.2,closeness,113,10,59.66,6
12_1.txt,1133,0.2,closeness,283,25,61.87,6
12_1.txt,1133,0.3,closeness,56,5,74.76,5
12_1.txt,1133,0.3,closeness,113,10,74.76,5
12_1.txt,1133,0.3,closeness,283,25,75.02,4
12_1.txt,1133,0.4,closeness,56,5,82.52,6
12_1.txt,1133,0.4,closeness,113,10,82.52,5
12_1.txt,1133,0.4,closeness,283,25,82.52,5
12_1.txt,1133,0.5,closeness,56,5,87.64,4
12_1.txt,1133,0.5,closeness,113,10,87.64,4
12_1.txt,1133,0.5,closeness,283,25,87.64,4
12_1.txt,1133,0.6,closeness,56,5,91.35,4
12_1.txt,1133,0.6,closeness,113,10,91.35,4
12_1.txt,1133,0.6,closeness,283,25,91.35,3
12_1.txt,1133,0.7,closeness,56,5,94.62,4
12_1.txt,1133,0.7,closeness,113,10,94.62,4
12_1.txt,1133,0.7,closeness,283,25,94.62,3
12_1.txt,1133,0.8,closeness,56,5,96.65,5
12_1.txt,1133,0.8,closeness,113,10,96.65,4
12_1.txt,1133,0.8,closeness,283,25,96.65,4
12_1.txt,1133,0.9,closeness,56,5,98.15,4
12_1.txt,1133,0.9,closeness,113,10,98.15,4
12_1.txt,1133,0.9,closeness,283,25,98.15,3
12_1.txt,1133,0.1,random,56,5,34.95,13
12_1.txt,1133,0.1,random,113,10,40.95,13
12_1.txt,1133,0.1,random,283,25,53.05,6
12_1.txt,1133,0.2,random,56,5,61.69,8
12_1.txt,1133,0.2,random,113,10,63.37,6
12_1.txt,1133,0.2,random,283,25,69.02,5
12_1.txt,1133,0.3,random,56,5,75.55,5
12_1.txt,1133,0.3,random,113,10,76.7,5
12_1.txt,1133,0.3,random,283,25,80.23,4
12_1.txt,1133,0.4,random,56,5,83.14,5
12_1.txt,1133,0.4,random,113,10,83.58,5
12_1.txt,1133,0.4,random,283,25,85.88,4
12_1.txt,1133,0.5,random,56,5,88.17,5
12_1.txt,1133,0.5,random,113,10,88.44,5
